Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,Category
1,tt0944947,2024-12-18,2024-12-18,,"Game of Thrones","Game of Thrones",https://www.imdb.com/title/tt0944947/,TV Series,9.2,60,2011,"Action, Adventure, Drama, Fantasy",2377054,2011-04-17,,10,2024-11-19,Western
2,tt3006802,2024-12-18,2024-12-18,,"Outlander","Outlander",https://www.imdb.com/title/tt3006802/,TV Series,8.3,60,2014,"Adventure, Drama, Fantasy, Romance",185261,2014-08-09,,10,2024-11-19,Western
3,tt11198330,2024-12-18,2024-12-18,,"House of the Dragon","House of the Dragon",https://www.imdb.com/title/tt11198330/,TV Series,8.3,50,2022,"Action, Adventure, Drama, Fantasy, Romance",457451,2022-08-21,,10,2024-11-19,Western
4,tt6611916,2024-12-18,2024-12-18,,"Kingdom","Kingdom",https://www.imdb.com/title/tt6611916/,TV Series,8.3,45,2019,"Action, Drama, Horror, Thriller",57258,2019-01-25,,10,2024-11-19,Asian
5,tt24640580,2024-12-18,2024-12-18,,"Moving","Mubing",https://www.imdb.com/title/tt24640580/,TV Series,8.4,58,2023,"Action, Adventure, Fantasy, Sci-Fi, Thriller",12257,2023-08-09,,,,Asian
6,tt10919420,2024-12-18,2024-12-18,,"Squid Game","Ojing-eo geim",https://www.imdb.com/title/tt10919420/,TV Series,8.0,60,2021,"Action, Drama, Mystery, Thriller",582349,2021-09-17,,9,2024-11-19,Asian
7,tt1745960,2024-12-18,2024-12-18,,"Top Gun: Maverick","Top Gun: Maverick",https://www.imdb.com/title/tt1745960/,Movie,8.2,130,2022,"Action, Drama",745585,2022-05-27,"Joseph Kosinski",,,Movies
8,tt1375666,2024-12-18,2024-12-18,,"Inception","Inception",https://www.imdb.com/title/tt1375666/,Movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2625349,2010-07-16,"Christopher Nolan",,,Movies
9,tt0816692,2024-12-18,2024-12-18,,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692/,Movie,8.7,169,2014,"Adventure, Drama, Sci-Fi",2225702,2014-11-07,"Christopher Nolan",10,2024-11-19,Movies
10,tt2265171,2024-12-18,2024-12-18,,"The Raid 2","Serbuan maut 2: Berandal",https://www.imdb.com/title/tt2265171/,Movie,7.9,150,2014,"Action, Crime, Thriller",133838,2014-04-11,"Gareth Evans",,,Indonesia
11,tt6116856,2024-12-18,2024-12-18,,"The Night Comes for Us","The Night Comes for Us",https://www.imdb.com/title/tt6116856/,Movie,6.9,121,2018,"Action, Crime, Thriller",30516,2018-10-19,"Timo Tjahjanto",,,Indonesia
12,tt21279114,2024-12-18,2024-12-18,,"Cigarette Girl","Gadis Kretek",https://www.imdb.com/title/tt21279114/,TV Mini Series,8.2,60,2023,"Drama, History, Romance",2250,2023-11-02,,,,Indonesia
